Theta;T;Energy
-15.00;0.00;80.736300
-14.90;0.00;68.271354
-14.80;0.00;56.194766
-14.70;0.00;44.500382
-14.60;0.00;33.182087
-14.50;0.00;22.233809
-14.40;0.00;11.649517
-14.30;0.00;1.423221
-14.20;0.00;-8.451025
-14.10;0.00;-17.979128
-14.00;0.00;-27.166952
-13.90;0.00;-36.020321
-13.80;0.00;-44.545014
-13.70;0.00;-52.746773
-13.60;0.00;-60.631295
-13.49;0.00;-68.204237
-13.39;0.00;-75.471213
-13.29;0.00;-82.437797
-13.19;0.00;-89.109521
-13.09;0.00;-95.491874
-12.99;0.00;-101.590306
-12.89;0.00;-107.410222
-12.79;0.00;-112.956989
-12.69;0.00;-118.235930
-12.59;0.00;-123.252328
-12.49;0.00;-128.011422
-12.39;0.00;-132.518412
-12.29;0.00;-136.778456
-12.19;0.00;-140.796669
-12.09;0.00;-144.578124
-11.99;0.00;-148.127856
-11.89;0.00;-151.450855
-11.79;0.00;-154.552070
-11.69;0.00;-157.436409
-11.59;0.00;-160.108738
-11.49;0.00;-162.573883
-11.39;0.00;-164.836625
-11.29;0.00;-166.901707
-11.19;0.00;-168.773829
-11.09;0.00;-170.457648
-10.99;0.00;-171.957782
-10.89;0.00;-173.278805
-10.79;0.00;-174.425251
-10.69;0.00;-175.401612
-10.59;0.00;-176.212338
-10.48;0.00;-176.861838
-10.38;0.00;-177.354480
-10.28;0.00;-177.694587
-10.18;0.00;-177.886446
-10.08;0.00;-177.934297
-9.98;0.00;-177.842342
-9.88;0.00;-177.614741
-9.78;0.00;-177.255609
-9.68;0.00;-176.769024
-9.58;0.00;-176.159020
-9.48;0.00;-175.429590
-9.38;0.00;-174.584684
-9.28;0.00;-173.628213
-9.18;0.00;-172.564045
-9.08;0.00;-171.396006
-8.98;0.00;-170.127880
-8.88;0.00;-168.763412
-8.78;0.00;-167.306303
-8.68;0.00;-165.760212
-8.58;0.00;-164.128759
-8.48;0.00;-162.415520
-8.38;0.00;-160.624031
-8.28;0.00;-158.757785
-8.18;0.00;-156.820234
-8.08;0.00;-154.814789
-7.98;0.00;-152.744820
-7.88;0.00;-150.613652
-7.78;0.00;-148.424572
-7.68;0.00;-146.180825
-7.58;0.00;-143.885612
-7.47;0.00;-141.542095
-7.37;0.00;-139.153393
-7.27;0.00;-136.722583
-7.17;0.00;-134.252703
-7.07;0.00;-131.746746
-6.97;0.00;-129.207667
-6.87;0.00;-126.638375
-6.77;0.00;-124.041741
-6.67;0.00;-121.420593
-6.57;0.00;-118.777718
-6.47;0.00;-116.115861
-6.37;0.00;-113.437725
-6.27;0.00;-110.745973
-6.17;0.00;-108.043224
-6.07;0.00;-105.332057
-5.97;0.00;-102.615010
-5.87;0.00;-99.894577
-5.77;0.00;-97.173213
-5.67;0.00;-94.453330
-5.57;0.00;-91.737299
-5.47;0.00;-89.027448
-5.37;0.00;-86.326067
-5.27;0.00;-83.635399
-5.17;0.00;-80.957651
-5.07;0.00;-78.294984
-4.97;0.00;-75.649519
-4.87;0.00;-73.023337
-4.77;0.00;-70.418475
-4.67;0.00;-67.836931
-4.57;0.00;-65.280657
-4.46;0.00;-62.751568
-4.36;0.00;-60.251536
-4.26;0.00;-57.782390
-4.16;0.00;-55.345919
-4.06;0.00;-52.943870
-3.96;0.00;-50.577948
-3.86;0.00;-48.249816
-3.76;0.00;-45.961098
-3.66;0.00;-43.713372
-3.56;0.00;-41.508179
-3.46;0.00;-39.347015
-3.36;0.00;-37.231336
-3.26;0.00;-35.162556
-3.16;0.00;-33.142049
-3.06;0.00;-31.171144
-2.96;0.00;-29.251131
-2.86;0.00;-27.383258
-2.76;0.00;-25.568730
-2.66;0.00;-23.808714
-2.56;0.00;-22.104331
-2.46;0.00;-20.456663
-2.36;0.00;-18.866750
-2.26;0.00;-17.335589
-2.16;0.00;-15.864138
-2.06;0.00;-14.453312
-1.96;0.00;-13.103984
-1.86;0.00;-11.816986
-1.76;0.00;-10.593107
-1.66;0.00;-9.433098
-1.56;0.00;-8.337664
-1.45;0.00;-7.307471
-1.35;0.00;-6.343144
-1.25;0.00;-5.445263
-1.15;0.00;-4.614372
-1.05;0.00;-3.850967
-0.95;0.00;-3.155507
-0.85;0.00;-2.528407
-0.75;0.00;-1.970043
-0.65;0.00;-1.480746
-0.55;0.00;-1.060808
-0.45;0.00;-0.710479
-0.35;0.00;-0.429966
-0.25;0.00;-0.219435
-0.15;0.00;-0.079012
-0.05;0.00;-0.008780
0.05;0.00;-0.008780
0.15;0.00;-0.079012
0.25;0.00;-0.219435
0.35;0.00;-0.429966
0.45;0.00;-0.710479
0.55;0.00;-1.060808
0.65;0.00;-1.480746
0.75;0.00;-1.970043
0.85;0.00;-2.528407
0.95;0.00;-3.155507
1.05;0.00;-3.850967
1.15;0.00;-4.614372
1.25;0.00;-5.445263
1.35;0.00;-6.343144
1.45;0.00;-7.307471
1.56;0.00;-8.337664
1.66;0.00;-9.433098
1.76;0.00;-10.593107
1.86;0.00;-11.816986
1.96;0.00;-13.103984
2.06;0.00;-14.453312
2.16;0.00;-15.864138
2.26;0.00;-17.335589
2.36;0.00;-18.866750
2.46;0.00;-20.456663
2.56;0.00;-22.104331
2.66;0.00;-23.808714
2.76;0.00;-25.568730
2.86;0.00;-27.383258
2.96;0.00;-29.251131
3.06;0.00;-31.171144
3.16;0.00;-33.142049
3.26;0.00;-35.162556
3.36;0.00;-37.231336
3.46;0.00;-39.347015
3.56;0.00;-41.508179
3.66;0.00;-43.713372
3.76;0.00;-45.961098
3.86;0.00;-48.249816
3.96;0.00;-50.577948
4.06;0.00;-52.943870
4.16;0.00;-55.345919
4.26;0.00;-57.782390
4.36;0.00;-60.251536
4.46;0.00;-62.751568
4.57;0.00;-65.280657
4.67;0.00;-67.836931
4.77;0.00;-70.418475
4.87;0.00;-73.023337
4.97;0.00;-75.649519
5.07;0.00;-78.294984
5.17;0.00;-80.957651
5.27;0.00;-83.635399
5.37;0.00;-86.326067
5.47;0.00;-89.027448
5.57;0.00;-91.737299
5.67;0.00;-94.453330
5.77;0.00;-97.173213
5.87;0.00;-99.894577
5.97;0.00;-102.615010
6.07;0.00;-105.332057
6.17;0.00;-108.043224
6.27;0.00;-110.745973
6.37;0.00;-113.437725
6.47;0.00;-116.115861
6.57;0.00;-118.777718
6.67;0.00;-121.420593
6.77;0.00;-124.041741
6.87;0.00;-126.638375
6.97;0.00;-129.207667
7.07;0.00;-131.746746
7.17;0.00;-134.252703
7.27;0.00;-136.722583
7.37;0.00;-139.153393
7.47;0.00;-141.542095
7.58;0.00;-143.885612
7.68;0.00;-146.180825
7.78;0.00;-148.424572
7.88;0.00;-150.613652
7.98;0.00;-152.744820
8.08;0.00;-154.814789
8.18;0.00;-156.820234
8.28;0.00;-158.757785
8.38;0.00;-160.624031
8.48;0.00;-162.415520
8.58;0.00;-164.128759
8.68;0.00;-165.760212
8.78;0.00;-167.306303
8.88;0.00;-168.763412
8.98;0.00;-170.127880
9.08;0.00;-171.396006
9.18;0.00;-172.564045
9.28;0.00;-173.628213
9.38;0.00;-174.584684
9.48;0.00;-175.429590
9.58;0.00;-176.159020
9.68;0.00;-176.769024
9.78;0.00;-177.255609
9.88;0.00;-177.614741
9.98;0.00;-177.842342
10.08;0.00;-177.934297
10.18;0.00;-177.886446
10.28;0.00;-177.694587
10.38;0.00;-177.354480
10.48;0.00;-176.861838
10.59;0.00;-176.212338
10.69;0.00;-175.401612
10.79;0.00;-174.425251
10.89;0.00;-173.278805
10.99;0.00;-171.957782
11.09;0.00;-170.457648
11.19;0.00;-168.773829
11.29;0.00;-166.901707
11.39;0.00;-164.836625
11.49;0.00;-162.573883
11.59;0.00;-160.108738
11.69;0.00;-157.436409
11.79;0.00;-154.552070
11.89;0.00;-151.450855
11.99;0.00;-148.127856
12.09;0.00;-144.578124
12.19;0.00;-140.796669
12.29;0.00;-136.778456
12.39;0.00;-132.518412
12.49;0.00;-128.011422
12.59;0.00;-123.252328
12.69;0.00;-118.235930
12.79;0.00;-112.956989
12.89;0.00;-107.410222
12.99;0.00;-101.590306
13.09;0.00;-95.491874
13.19;0.00;-89.109521
13.29;0.00;-82.437797
13.39;0.00;-75.471213
13.49;0.00;-68.204237
13.60;0.00;-60.631295
13.70;0.00;-52.746773
13.80;0.00;-44.545014
13.90;0.00;-36.020321
14.00;0.00;-27.166952
14.10;0.00;-17.979128
14.20;0.00;-8.451025
14.30;0.00;1.423221
14.40;0.00;11.649517
14.50;0.00;22.233809
14.60;0.00;33.182087
14.70;0.00;44.500382
14.80;0.00;56.194766
14.90;0.00;68.271354
15.00;0.00;80.736300
-15.00;1.00;462.336300
-14.90;1.00;444.783411
-14.80;1.00;427.653027
-14.70;1.00;410.938995
-14.60;1.00;394.635198
-14.50;1.00;378.735566
-14.40;1.00;363.234067
-14.30;1.00;348.124712
-14.20;1.00;333.401554
-14.10;1.00;319.058686
-14.00;1.00;305.090244
-13.90;1.00;291.490405
-13.80;1.00;278.253388
-13.70;1.00;265.373453
-13.60;1.00;252.844903
-13.49;1.00;240.662080
-13.39;1.00;228.819370
-13.29;1.00;217.311199
-13.19;1.00;206.132036
-13.09;1.00;195.276390
-12.99;1.00;184.738814
-12.89;1.00;174.513900
-12.79;1.00;164.596282
-12.69;1.00;154.980638
-12.59;1.00;145.661685
-12.49;1.00;136.634181
-12.39;1.00;127.892930
-12.29;1.00;119.432772
-12.19;1.00;111.248593
-12.09;1.00;103.335317
-11.99;1.00;95.687913
-11.89;1.00;88.301390
-11.79;1.00;81.170797
-11.69;1.00;74.291227
-11.59;1.00;67.657815
-11.49;1.00;61.265734
-11.39;1.00;55.110203
-11.29;1.00;49.186480
-11.19;1.00;43.489864
-11.09;1.00;38.015698
-10.99;1.00;32.759365
-10.89;1.00;27.716289
-10.79;1.00;22.881938
-10.69;1.00;18.251819
-10.59;1.00;13.821483
-10.48;1.00;9.586519
-10.38;1.00;5.542562
-10.28;1.00;1.685285
-10.18;1.00;-1.989595
-10.08;1.00;-5.486320
-9.98;1.00;-8.809092
-9.88;1.00;-11.962070
-9.78;1.00;-14.949371
-9.68;1.00;-17.775071
-9.58;1.00;-20.443205
-9.48;1.00;-22.957765
-9.38;1.00;-25.322703
-9.28;1.00;-27.541928
-9.18;1.00;-29.619308
-9.08;1.00;-31.558671
-8.98;1.00;-33.363799
-8.88;1.00;-35.038438
-8.78;1.00;-36.586288
-8.68;1.00;-38.011010
-8.58;1.00;-39.316222
-8.48;1.00;-40.505501
-8.38;1.00;-41.582382
-8.28;1.00;-42.550360
-8.18;1.00;-43.412885
-8.08;1.00;-44.173369
-7.98;1.00;-44.835181
-7.88;1.00;-45.401648
-7.78;1.00;-45.876055
-7.68;1.00;-46.261647
-7.58;1.00;-46.561627
-7.47;1.00;-46.779155
-7.37;1.00;-46.917350
-7.27;1.00;-46.979292
-7.17;1.00;-46.968015
-7.07;1.00;-46.886514
-6.97;1.00;-46.737743
-6.87;1.00;-46.524613
-6.77;1.00;-46.249993
-6.67;1.00;-45.916713
-6.57;1.00;-45.527558
-6.47;1.00;-45.085273
-6.37;1.00;-44.592563
-6.27;1.00;-44.052088
-6.17;1.00;-43.466470
-6.07;1.00;-42.838286
-5.97;1.00;-42.170075
-5.87;1.00;-41.464331
-5.77;1.00;-40.723509
-5.67;1.00;-39.950020
-5.57;1.00;-39.146236
-5.47;1.00;-38.314485
-5.37;1.00;-37.457056
-5.27;1.00;-36.576194
-5.17;1.00;-35.674103
-5.07;1.00;-34.752947
-4.97;1.00;-33.814846
-4.87;1.00;-32.861880
-4.77;1.00;-31.896088
-4.67;1.00;-30.919464
-4.57;1.00;-29.933965
-4.46;1.00;-28.941504
-4.36;1.00;-27.943951
-4.26;1.00;-26.943138
-4.16;1.00;-25.940852
-4.06;1.00;-24.938841
-3.96;1.00;-23.938810
-3.86;1.00;-22.942422
-3.76;1.00;-21.951299
-3.66;1.00;-20.967023
-3.56;1.00;-19.991131
-3.46;1.00;-19.025121
-3.36;1.00;-18.070450
-3.26;1.00;-17.128530
-3.16;1.00;-16.200735
-3.06;1.00;-15.288395
-2.96;1.00;-14.392800
-2.86;1.00;-13.515198
-2.76;1.00;-12.656794
-2.66;1.00;-11.818754
-2.56;1.00;-11.002200
-2.46;1.00;-10.208214
-2.36;1.00;-9.437835
-2.26;1.00;-8.692062
-2.16;1.00;-7.971851
-2.06;1.00;-7.278117
-1.96;1.00;-6.611734
-1.86;1.00;-5.973534
-1.76;1.00;-5.364307
-1.66;1.00;-4.784801
-1.56;1.00;-4.235723
-1.45;1.00;-3.717739
-1.35;1.00;-3.231474
-1.25;1.00;-2.777508
-1.15;1.00;-2.356383
-1.05;1.00;-1.968599
-0.95;1.00;-1.614611
-0.85;1.00;-1.294837
-0.75;1.00;-1.009651
-0.65;1.00;-0.759385
-0.55;1.00;-0.544331
-0.45;1.00;-0.364738
-0.35;1.00;-0.220814
-0.25;1.00;-0.112725
-0.15;1.00;-0.040597
-0.05;1.00;-0.004512
0.05;1.00;-0.004512
0.15;1.00;-0.040597
0.25;1.00;-0.112725
0.35;1.00;-0.220814
0.45;1.00;-0.364738
0.55;1.00;-0.544331
0.65;1.00;-0.759385
0.75;1.00;-1.009651
0.85;1.00;-1.294837
0.95;1.00;-1.614611
1.05;1.00;-1.968599
1.15;1.00;-2.356383
1.25;1.00;-2.777508
1.35;1.00;-3.231474
1.45;1.00;-3.717739
1.56;1.00;-4.235723
1.66;1.00;-4.784801
1.76;1.00;-5.364307
1.86;1.00;-5.973534
1.96;1.00;-6.611734
2.06;1.00;-7.278117
2.16;1.00;-7.971851
2.26;1.00;-8.692062
2.36;1.00;-9.437835
2.46;1.00;-10.208214
2.56;1.00;-11.002200
2.66;1.00;-11.818754
2.76;1.00;-12.656794
2.86;1.00;-13.515198
2.96;1.00;-14.392800
3.06;1.00;-15.288395
3.16;1.00;-16.200735
3.26;1.00;-17.128530
3.36;1.00;-18.070450
3.46;1.00;-19.025121
3.56;1.00;-19.991131
3.66;1.00;-20.967023
3.76;1.00;-21.951299
3.86;1.00;-22.942422
3.96;1.00;-23.938810
4.06;1.00;-24.938841
4.16;1.00;-25.940852
4.26;1.00;-26.943138
4.36;1.00;-27.943951
4.46;1.00;-28.941504
4.57;1.00;-29.933965
4.67;1.00;-30.919464
4.77;1.00;-31.896088
4.87;1.00;-32.861880
4.97;1.00;-33.814846
5.07;1.00;-34.752947
5.17;1.00;-35.674103
5.27;1.00;-36.576194
5.37;1.00;-37.457056
5.47;1.00;-38.314485
5.57;1.00;-39.146236
5.67;1.00;-39.950020
5.77;1.00;-40.723509
5.87;1.00;-41.464331
5.97;1.00;-42.170075
6.07;1.00;-42.838286
6.17;1.00;-43.466470
6.27;1.00;-44.052088
6.37;1.00;-44.592563
6.47;1.00;-45.085273
6.57;1.00;-45.527558
6.67;1.00;-45.916713
6.77;1.00;-46.249993
6.87;1.00;-46.524613
6.97;1.00;-46.737743
7.07;1.00;-46.886514
7.17;1.00;-46.968015
7.27;1.00;-46.979292
7.37;1.00;-46.917350
7.47;1.00;-46.779155
7.58;1.00;-46.561627
7.68;1.00;-46.261647
7.78;1.00;-45.876055
7.88;1.00;-45.401648
7.98;1.00;-44.835181
8.08;1.00;-44.173369
8.18;1.00;-43.412885
8.28;1.00;-42.550360
8.38;1.00;-41.582382
8.48;1.00;-40.505501
8.58;1.00;-39.316222
8.68;1.00;-38.011010
8.78;1.00;-36.586288
8.88;1.00;-35.038438
8.98;1.00;-33.363799
9.08;1.00;-31.558671
9.18;1.00;-29.619308
9.28;1.00;-27.541928
9.38;1.00;-25.322703
9.48;1.00;-22.957765
9.58;1.00;-20.443205
9.68;1.00;-17.775071
9.78;1.00;-14.949371
9.88;1.00;-11.962070
9.98;1.00;-8.809092
10.08;1.00;-5.486320
10.18;1.00;-1.989595
10.28;1.00;1.685285
10.38;1.00;5.542562
10.48;1.00;9.586519
10.59;1.00;13.821483
10.69;1.00;18.251819
10.79;1.00;22.881938
10.89;1.00;27.716289
10.99;1.00;32.759365
11.09;1.00;38.015698
11.19;1.00;43.489864
11.29;1.00;49.186480
11.39;1.00;55.110203
11.49;1.00;61.265734
11.59;1.00;67.657815
11.69;1.00;74.291227
11.79;1.00;81.170797
11.89;1.00;88.301390
11.99;1.00;95.687913
12.09;1.00;103.335317
12.19;1.00;111.248593
12.29;1.00;119.432772
12.39;1.00;127.892930
12.49;1.00;136.634181
12.59;1.00;145.661685
12.69;1.00;154.980638
12.79;1.00;164.596282
12.89;1.00;174.513900
12.99;1.00;184.738814
13.09;1.00;195.276390
13.19;1.00;206.132036
13.29;1.00;217.311199
13.39;1.00;228.819370
13.49;1.00;240.662080
13.60;1.00;252.844903
13.70;1.00;265.373453
13.80;1.00;278.253388
13.90;1.00;291.490405
14.00;1.00;305.090244
14.10;1.00;319.058686
14.20;1.00;333.401554
14.30;1.00;348.124712
14.40;1.00;363.234067
14.50;1.00;378.735566
14.60;1.00;394.635198
14.70;1.00;410.938995
14.80;1.00;427.653027
14.90;1.00;444.783411
15.00;1.00;462.336300
-15.00;2.00;843.936300
-14.90;2.00;821.295468
-14.80;2.00;799.111288
-14.70;2.00;777.377607
-14.60;2.00;756.088309
-14.50;2.00;735.237323
-14.40;2.00;714.818618
-14.30;2.00;694.826203
-14.20;2.00;675.254133
-14.10;2.00;656.096500
-14.00;2.00;637.347440
-13.90;2.00;619.001131
-13.80;2.00;601.051791
-13.70;2.00;583.493680
-13.60;2.00;566.321101
-13.49;2.00;549.528397
-13.39;2.00;533.109952
-13.29;2.00;517.060195
-13.19;2.00;501.373592
-13.09;2.00;486.044654
-12.99;2.00;471.067933
-12.89;2.00;456.438021
-12.79;2.00;442.149553
-12.69;2.00;428.197206
-12.59;2.00;414.575697
-12.49;2.00;401.279785
-12.39;2.00;388.304272
-12.29;2.00;375.644000
-12.19;2.00;363.293854
-12.09;2.00;351.248759
-11.99;2.00;339.503683
-11.89;2.00;328.053634
-11.79;2.00;316.893664
-11.69;2.00;306.018863
-11.59;2.00;295.424368
-11.49;2.00;285.105351
-11.39;2.00;275.057031
-11.29;2.00;265.274666
-11.19;2.00;255.753557
-11.09;2.00;246.489044
-10.99;2.00;237.476511
-10.89;2.00;228.711383
-10.79;2.00;220.189127
-10.69;2.00;211.905250
-10.59;2.00;203.855303
-10.48;2.00;196.034877
-10.38;2.00;188.439603
-10.28;2.00;181.065158
-10.18;2.00;173.907257
-10.08;2.00;166.961657
-9.98;2.00;160.224158
-9.88;2.00;153.690601
-9.78;2.00;147.356867
-9.68;2.00;141.218882
-9.58;2.00;135.272611
-9.48;2.00;129.514060
-9.38;2.00;123.939279
-9.28;2.00;118.544357
-9.18;2.00;113.325428
-9.08;2.00;108.278665
-8.98;2.00;103.400282
-8.88;2.00;98.686536
-8.78;2.00;94.133726
-8.68;2.00;89.738192
-8.58;2.00;85.496315
-8.48;2.00;81.404518
-8.38;2.00;77.459266
-8.28;2.00;73.657065
-8.18;2.00;69.994464
-8.08;2.00;66.468051
-7.98;2.00;63.074458
-7.88;2.00;59.810357
-7.78;2.00;56.672462
-7.68;2.00;53.657531
-7.58;2.00;50.762358
-7.47;2.00;47.983785
-7.37;2.00;45.318692
-7.27;2.00;42.764000
-7.17;2.00;40.316673
-7.07;2.00;37.973718
-6.97;2.00;35.732180
-6.87;2.00;33.589149
-6.77;2.00;31.541754
-6.67;2.00;29.587168
-6.57;2.00;27.722603
-6.47;2.00;25.945315
-6.37;2.00;24.252600
-6.27;2.00;22.641797
-6.17;2.00;21.110284
-6.07;2.00;19.655484
-5.97;2.00;18.274860
-5.87;2.00;16.965915
-5.77;2.00;15.726195
-5.67;2.00;14.553290
-5.57;2.00;13.444827
-5.47;2.00;12.398477
-5.37;2.00;11.411954
-5.27;2.00;10.483011
-5.17;2.00;9.609444
-5.07;2.00;8.789089
-4.97;2.00;8.019827
-4.87;2.00;7.299576
-4.77;2.00;6.626300
-4.67;2.00;5.998002
-4.57;2.00;5.412727
-4.46;2.00;4.868561
-4.36;2.00;4.363634
-4.26;2.00;3.896114
-4.16;2.00;3.464215
-4.06;2.00;3.066188
-3.96;2.00;2.700329
-3.86;2.00;2.364973
-3.76;2.00;2.058499
-3.66;2.00;1.779327
-3.56;2.00;1.525917
-3.46;2.00;1.296772
-3.36;2.00;1.090437
-3.26;2.00;0.905497
-3.16;2.00;0.740579
-3.06;2.00;0.594353
-2.96;2.00;0.465530
-2.86;2.00;0.352862
-2.76;2.00;0.255142
-2.66;2.00;0.171206
-2.56;2.00;0.099931
-2.46;2.00;0.040235
-2.36;2.00;-0.008920
-2.26;2.00;-0.048534
-2.16;2.00;-0.079563
-2.06;2.00;-0.102922
-1.96;2.00;-0.119485
-1.86;2.00;-0.130083
-1.76;2.00;-0.135506
-1.66;2.00;-0.136504
-1.56;2.00;-0.133782
-1.45;2.00;-0.128008
-1.35;2.00;-0.119804
-1.25;2.00;-0.109753
-1.15;2.00;-0.098395
-1.05;2.00;-0.086230
-0.95;2.00;-0.073716
-0.85;2.00;-0.061267
-0.75;2.00;-0.049259
-0.65;2.00;-0.038024
-0.55;2.00;-0.027853
-0.45;2.00;-0.018997
-0.35;2.00;-0.011662
-0.25;2.00;-0.006015
-0.15;2.00;-0.002181
-0.05;2.00;-0.000243
0.05;2.00;-0.000243
0.15;2.00;-0.002181
0.25;2.00;-0.006015
0.35;2.00;-0.011662
0.45;2.00;-0.018997
0.55;2.00;-0.027853
0.65;2.00;-0.038024
0.75;2.00;-0.049259
0.85;2.00;-0.061267
0.95;2.00;-0.073716
1.05;2.00;-0.086230
1.15;2.00;-0.098395
1.25;2.00;-0.109753
1.35;2.00;-0.119804
1.45;2.00;-0.128008
1.56;2.00;-0.133782
1.66;2.00;-0.136504
1.76;2.00;-0.135506
1.86;2.00;-0.130083
1.96;2.00;-0.119485
2.06;2.00;-0.102922
2.16;2.00;-0.079563
2.26;2.00;-0.048534
2.36;2.00;-0.008920
2.46;2.00;0.040235
2.56;2.00;0.099931
2.66;2.00;0.171206
2.76;2.00;0.255142
2.86;2.00;0.352862
2.96;2.00;0.465530
3.06;2.00;0.594353
3.16;2.00;0.740579
3.26;2.00;0.905497
3.36;2.00;1.090437
3.46;2.00;1.296772
3.56;2.00;1.525917
3.66;2.00;1.779327
3.76;2.00;2.058499
3.86;2.00;2.364973
3.96;2.00;2.700329
4.06;2.00;3.066188
4.16;2.00;3.464215
4.26;2.00;3.896114
4.36;2.00;4.363634
4.46;2.00;4.868561
4.57;2.00;5.412727
4.67;2.00;5.998002
4.77;2.00;6.626300
4.87;2.00;7.299576
4.97;2.00;8.019827
5.07;2.00;8.789089
5.17;2.00;9.609444
5.27;2.00;10.483011
5.37;2.00;11.411954
5.47;2.00;12.398477
5.57;2.00;13.444827
5.67;2.00;14.553290
5.77;2.00;15.726195
5.87;2.00;16.965915
5.97;2.00;18.274860
6.07;2.00;19.655484
6.17;2.00;21.110284
6.27;2.00;22.641797
6.37;2.00;24.252600
6.47;2.00;25.945315
6.57;2.00;27.722603
6.67;2.00;29.587168
6.77;2.00;31.541754
6.87;2.00;33.589149
6.97;2.00;35.732180
7.07;2.00;37.973718
7.17;2.00;40.316673
7.27;2.00;42.764000
7.37;2.00;45.318692
7.47;2.00;47.983785
7.58;2.00;50.762358
7.68;2.00;53.657531
7.78;2.00;56.672462
7.88;2.00;59.810357
7.98;2.00;63.074458
8.08;2.00;66.468051
8.18;2.00;69.994464
8.28;2.00;73.657065
8.38;2.00;77.459266
